Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_control_1,1748944383413919,0.0660904,940.5,19.4422,170,177,183,199
1,0603_hek_control_1,1748944383414131,0.0224154,712,20.2978,170,178,186,201
1,0603_hek_control_1,1748944383415114,0.0322529,818,19.1964,171,176,181,196
1,0603_hek_control_1,1748944383418719,0.0404014,900,21.7715,170,178,187,210
1,0603_hek_control_1,1748944383423919,0.0765474,982,22.4833,170,179,189,209
1,0603_hek_control_1,1748944383425524,0.0454333,965,21.7601,171,179,188,207
1,0603_hek_control_1,1748944383427728,0.0329626,886.5,22.1472,172,178,188,207
1,0603_hek_control_1,1748944383429318,0.032067,748.5,21.2838,172,178,186,204
1,0603_hek_control_1,1748944383437319,0.0246238,967.5,21.4826,171,178,186,207
1,0603_hek_control_1,1748944383439320,0.0245561,960,23.0326,172,180,188,209
1,0603_hek_control_1,1748944383439538,0.0394,702,20.3838,171,178,186,204
1,0603_hek_control_1,1748944383440115,0.0403071,700.5,20.0749,170,178,186,207
1,0603_hek_control_1,1748944383442915,0.0527113,635,20.3224,172,179,187,209
1,0603_hek_control_1,1748944383443523,0.0336349,906.5,22.8583,172,179,188,211
1,0603_hek_control_1,1748944383443719,0.0236113,725,20.2361,170,177,182,200
1,0603_hek_control_1,1748944383445786,0.034133,814,20.7123,170,178,187,203
1,0603_hek_control_1,1748944383448921,0.036593,686.5,20.2237,171,178,186,210
1,0603_hek_control_1,1748944383452116,0.0335832,714,21.095,170,178,185,203
1,0603_hek_control_1,1748944383460779,0.0496574,766.5,20.4817,171,178,188,206
1,0603_hek_control_1,1748944383469117,0.0303721,677,19.7737,170,179,186,207
1,0603_hek_control_1,1748944383472523,0.0267568,738,21.1778,171,179,186,203
1,0603_hek_control_1,1748944383476522,0.0355384,971,23.0109,172,180,189,210
1,0603_hek_control_1,1748944383478537,0.0486002,835,20.5183,172,178,185,205
1,0603_hek_control_1,1748944383486925,0.0477759,801,20.0873,170,178,186,199
1,0603_hek_control_1,1748944383509731,0.0372362,845.5,21.4243,171,178,186,207
1,0603_hek_control_1,1748944383512324,0.0308279,711.5,21.3307,170,177,185,201
1,0603_hek_control_1,1748944383524521,0.0308861,789.5,18.7883,170,177,185,208
1,0603_hek_control_1,1748944383530126,0.0355981,892,20.8087,171,178,185,211
1,0603_hek_control_1,1748944383531528,0.0614082,1127,22.7376,172,180,189,209
1,0603_hek_control_1,1748944383532132,0.0306362,600,19.1311,169,174,182,202
1,0603_hek_control_1,1748944383540475,0.0602516,642,20.7123,172,180,188,205
1,0603_hek_control_1,1748944383547723,0.0279354,781,21.7371,170,180,186,204
1,0603_hek_control_1,1748944383548520,0.0348412,664,21.2955,170,179,187,203
1,0603_hek_control_1,1748944383550934,0.0560322,830.5,21.1542,170,179,187,210
1,0603_hek_control_1,1748944383553540,0.0240835,647.5,20.6519,170,178,186,219
1,0603_hek_control_1,1748944383554717,0.0296101,662.5,20.0125,170,178,185,201
1,0603_hek_control_1,1748944383555718,0.0307611,844.5,21.7141,170,178,186,203
1,0603_hek_control_1,1748944383566520,0.0373482,812,20.9404,170,179,187,212
1,0603_hek_control_1,1748944383574721,0.0266249,846,21.9545,172,180,186,203
1,0603_hek_control_1,1748944383574942,0.0274023,930,23.3559,172,178,187,205
1,0603_hek_control_1,1748944383578161,0.0515161,654,18,170,177,183,201
1,0603_hek_control_1,1748944383591430,0.0427347,859.5,21.0357,172,180,189,207
1,0603_hek_control_1,1748944383594520,0.0407634,674.5,20.4695,172,179,186,206
1,0603_hek_control_1,1748944383595324,0.0264112,898.5,19.7358,172,178,185,198
1,0603_hek_control_1,1748944383600322,0.0276476,706,19.8242,171,179,187,205
1,0603_hek_control_1,1748944383601514,0.0165979,558,18.6548,170,178,186,203
1,0603_hek_control_1,1748944383603915,0.0578545,788.5,19.3907,170,178,185,202
1,0603_hek_control_1,1748944383609515,0.0642403,720.5,21.166,170,178,187,211
1,0603_hek_control_1,1748944383613553,0.0486625,777.5,20.3715,170,178,187,210
1,0603_hek_control_1,1748944383613914,0.0347053,682,19.4808,170,178,185,207
1,0603_hek_control_1,1748944383614714,0.0352973,789.5,19.6087,170,177,186,205
1,0603_hek_control_1,1748944383620317,0.0316352,901.5,20.6034,170,178,187,207
1,0603_hek_control_1,1748944383622317,0.0317237,601.5,19.3649,171,178,186,203
1,0603_hek_control_1,1748944383639324,0.0892452,772.5,21.7141,171,180,187,205
1,0603_hek_control_1,1748944383678146,0.0442569,863,21.1896,170,177,186,206
1,0603_hek_control_1,1748944383684119,0.0404985,863,20.4695,171,179,187,209
1,0603_hek_control_1,1748944383685919,0.045338,692,20.8567,170,178,187,205
1,0603_hek_control_1,1748944383692147,0.0367889,757.5,21.0832,170,177,186,212
1,0603_hek_control_1,1748944383693322,0.0417532,740,21.2838,170,178,186,205
1,0603_hek_control_1,1748944383703725,0.0262053,965,19.4679,170,176,183,197
1,0603_hek_control_1,1748944383708117,0.0325738,651.5,19.5192,170,178,187,207
1,0603_hek_control_1,1748944383715525,0.0479381,797,21.4126,171,180,188,203
1,0603_hek_control_1,1748944383721038,0.0385493,878.5,22.1698,171,179,187,207
1,0603_hek_control_1,1748944383722521,0.0574238,733.5,20.2731,170,178,186,205
1,0603_hek_control_1,1748944383723112,0.0303263,793,18.4526,171,177,181,197
1,0603_hek_control_1,1748944383726929,0.020705,716,20.8686,170,178,186,204
1,0603_hek_control_1,1748944383739925,0.0512776,1037.5,22.6053,170,178,188,219
1,0603_hek_control_1,1748944383740914,0.0353599,742,16.8077,171,176,181,199
1,0603_hek_control_1,1748944383741120,0.0278434,781.5,19.8368,171,179,186,207
1,0603_hek_control_1,1748944383752250,0.042303,623,17.9304,169,175,183,203
1,0603_hek_control_1,1748944383754144,0.0552442,855,21.9317,171,180,188,207
1,0603_hek_control_1,1748944383770720,0.0339567,844.5,21.5639,172,179,186,205
