Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_10uM_1h_1940_1,1748951292415399,0.073665,583.5,19.2614,168,176,183,204
1,0603_hek_10uM_1h_1940_1,1748951292421427,0.0396821,639.5,20.8806,169,177,186,205
1,0603_hek_10uM_1h_1940_1,1748951292422806,0.0998677,1130,23.1733,168,174,185,210
1,0603_hek_10uM_1h_1940_1,1748951292429798,0.0726463,810.5,21.5174,169,177,185,206
1,0603_hek_10uM_1h_1940_1,1748951292430018,0.0988385,858.5,23.3773,168,174,185,208
1,0603_hek_10uM_1h_1940_1,1748951292450007,0.0189866,381.5,21.691,168,172,179,201
1,0603_hek_10uM_1h_1940_1,1748951292454423,0.05588,919.5,22.4944,169,178,186,207
1,0603_hek_10uM_1h_1940_1,1748951292459800,0.0454049,402,18.7483,166,172,178,194
1,0603_hek_10uM_1h_1940_1,1748951292467531,0.0760079,728.5,19.6977,169,177,185,210
1,0603_hek_10uM_1h_1940_1,1748951292476601,0.0832326,694.5,20.347,169,174,183,208
1,0603_hek_10uM_1h_1940_1,1748951292477197,0.020775,643.5,17.9444,167,172,178,193
1,0603_hek_10uM_1h_1940_1,1748951292482197,0.043322,634.5,20.199,169,177,185,204
1,0603_hek_10uM_1h_1940_1,1748951292483212,0.0527592,717,21.7371,169,177,185,199
1,0603_hek_10uM_1h_1940_1,1748951292483407,0.034452,866.5,22.3047,169,177,186,205
1,0603_hek_10uM_1h_1940_1,1748951292495236,0.0508276,879.5,19.6469,169,178,186,210
1,0603_hek_10uM_1h_1940_1,1748951292500100,0.182136,850.5,22.4165,168,174,185,213
1,0603_hek_10uM_1h_1940_1,1748951292508604,0.100652,719.5,20.9762,169,176,186,210
1,0603_hek_10uM_1h_1940_1,1748951292511195,0.0357016,421,17.0441,166,172,178,206
1,0603_hek_10uM_1h_1940_1,1748951292530600,0.0890116,688.5,20.7002,169,176,185,207
1,0603_hek_10uM_1h_1940_1,1748951292532403,0.100803,818.5,21.7601,169,177,186,210
1,0603_hek_10uM_1h_1940_1,1748951292534398,0.0690861,706,18.303,168,175,183,201
1,0603_hek_10uM_1h_1940_1,1748951292538119,0.0241575,901.5,24.0312,166,173,180,199
1,0603_hek_10uM_1h_1940_1,1748951292544395,0.050907,301,16.4924,166,173,180,200
1,0603_hek_10uM_1h_1940_1,1748951292551809,0.0333124,957,22.3607,169,177,185,210
1,0603_hek_10uM_1h_1940_1,1748951292554996,0.114674,377.5,15.8588,166,170,176,186
1,0603_hek_10uM_1h_1940_1,1748951292555999,0.0528482,619.5,20.1494,168,176,184,210
1,0603_hek_10uM_1h_1940_1,1748951292570397,0.0698205,666.5,20.1122,168,177,186,211
1,0603_hek_10uM_1h_1940_1,1748951292574201,0.0945271,1034.5,24.4643,169,177,186,212
1,0603_hek_10uM_1h_1940_1,1748951292581193,0.0890664,381,17,166,170,178,203
1,0603_hek_10uM_1h_1940_1,1748951292585402,0.0657475,1161,22.9891,169,176,186,207
1,0603_hek_10uM_1h_1940_1,1748951292588066,0.11973,1233.5,24.5153,169,177,186,214
1,0603_hek_10uM_1h_1940_1,1748951292592412,0.0645771,876.5,22.3271,169,177,186,214
1,0603_hek_10uM_1h_1940_1,1748951292600667,0.0498833,719.5,20.5548,168,174,181,202
1,0603_hek_10uM_1h_1940_1,1748951292610003,0.073504,909,22.7156,169,176,182,206
1,0603_hek_10uM_1h_1940_1,1748951292610402,0.054081,627.5,20.137,169,174,181,198
1,0603_hek_10uM_1h_1940_1,1748951292613804,0.0323869,701,20.7726,166,174,186,207
1,0603_hek_10uM_1h_1940_1,1748951292615197,0.0707884,764.5,20.7485,168,174,186,208
1,0603_hek_10uM_1h_1940_1,1748951292615597,0.118773,678.5,18.7883,166,173,182,202
1,0603_hek_10uM_1h_1940_1,1748951292617601,0.0606753,914.5,22.4499,169,178,187,215
1,0603_hek_10uM_1h_1940_1,1748951292618398,0.0711857,799,20.6398,169,176,185,206
1,0603_hek_10uM_1h_1940_1,1748951292624256,0.0535777,739.5,20.4939,169,174,183,205
1,0603_hek_10uM_1h_1940_1,1748951292625606,0.162853,980,22.9783,169,177,186,226
1,0603_hek_10uM_1h_1940_1,1748951292629797,0.0394047,538.5,19.1964,169,177,185,205
1,0603_hek_10uM_1h_1940_1,1748951292632596,0.0572095,301.5,15.4434,165,171,178,195
1,0603_hek_10uM_1h_1940_1,1748951292634001,0.0254081,833,21.8403,170,178,186,206
1,0603_hek_10uM_1h_1940_1,1748951292634392,0.0708915,476,17.7059,166,172,178,193
1,0603_hek_10uM_1h_1940_1,1748951292646005,0.0541503,916.5,22.3047,169,177,185,205
1,0603_hek_10uM_1h_1940_1,1748951292651601,0.0387715,940,23.388,169,177,187,205
1,0603_hek_10uM_1h_1940_1,1748951292664397,0.0557742,613.5,19.1833,168,174,182,205
1,0603_hek_10uM_1h_1940_1,1748951292667793,0.0618117,397,16.4012,166,172,178,195
1,0603_hek_10uM_1h_1940_1,1748951292670791,0.127523,325,15.8745,166,173,180,203
1,0603_hek_10uM_1h_1940_1,1748951292677797,0.0761042,733,20.1866,169,177,186,206
1,0603_hek_10uM_1h_1940_1,1748951292678601,0.0574588,963,18.5742,167,173,180,201
1,0603_hek_10uM_1h_1940_1,1748951292680997,0.0637121,634,20.2855,168,176,186,212
1,0603_hek_10uM_1h_1940_1,1748951292686608,0.11481,790,21.225,168,174,185,219
1,0603_hek_10uM_1h_1940_1,1748951292697607,0.0448201,812,21.7371,169,176,185,210
1,0603_hek_10uM_1h_1940_1,1748951292719095,0.0799915,789.5,17.3349,168,174,181,203
1,0603_hek_10uM_1h_1940_1,1748951292726804,0.0632293,757.5,19.9875,169,176,185,207
1,0603_hek_10uM_1h_1940_1,1748951292730997,0.0333972,436.5,17.4356,169,175,183,199
1,0603_hek_10uM_1h_1940_1,1748951292733199,0.0392044,794.5,19.4551,168,175,184,204
